,sid,timestamp,event,act,div_id,chapter,subchapter
132,2SigmaSteven,2022-02-07 01:26:53.000000,admin,add__or_update_assignment_question,assignment=95888&question=1.%20Getting%20Started%20and%20Primitive%20Types%2F1.7%20Unit%201%20Summary&activities_required=-1&points=1&autograde=interact&which_to_grade=first_answer&assign_type=reading, , 
133,2SigmaSteven,2022-02-07 01:27:22.000000,admin,htmlsrc,acid=ch3ex1muc, , 
134,2SigmaSteven,2022-02-07 01:27:38.000000,admin,htmlsrc,acid=ch3_var1, , 
135,2SigmaSteven,2022-02-07 01:27:41.000000,admin,add__or_update_assignment_question,question=ch3_var1&question_id=&assignment=95888&points=1&autograde=pct_correct&which_to_grade=best_answer&assign_type=problems, , 
136,2SigmaSteven,2022-02-07 01:27:41.000000,admin,add__or_update_assignment_question,question=ch3_var2&question_id=&assignment=95888&points=1&autograde=pct_correct&which_to_grade=best_answer&assign_type=problems, , 
137,2SigmaSteven,2022-02-07 01:27:46.000000,admin,add__or_update_assignment_question,question=ch3ex7muc&question_id=&assignment=95888&points=1&autograde=pct_correct&which_to_grade=best_answer&assign_type=problems, , 
138,2SigmaSteven,2022-02-07 01:27:46.000000,admin,add__or_update_assignment_question,question=ch3ex10muc&question_id=&assignment=95888&points=1&autograde=pct_correct&which_to_grade=best_answer&assign_type=problems, , 
139,2SigmaSteven,2022-02-07 01:27:47.000000,admin,add__or_update_assignment_question,question=ch4ex3muc&question_id=&assignment=95888&points=1&autograde=pct_correct&which_to_grade=best_answer&assign_type=problems, , 
140,2SigmaSteven,2022-02-07 01:28:00.000000,admin,add__or_update_assignment_question,question=ch3Ex10q&question_id=&assignment=95888&points=1&autograde=pct_correct&which_to_grade=best_answer&assign_type=problems, , 
141,2SigmaSteven,2022-02-07 01:28:01.000000,admin,htmlsrc,acid=ch3Ex10q, , 
142,2SigmaSteven,2022-02-07 01:28:42.000000,admin,save_assignment,due=2022%2F02%2F11%2001%3A24&visible=F&enforce_due=F&is_timed=F&nofeedback=F&nopause=F&is_peer=F&timelimit=&description=Student%20understanding%20check&assignment_id=95888, , 
143,2SigmaSteven,2022-02-07 01:28:50.000000,assignments,doAssignment,assignment_id=95888, , 
144,2SigmaSteven,2022-02-07 01:28:50.000000,page,viewassignment,Unit1Test, , 
145,2SigmaSteven,2022-02-07 01:29:10.000000,admin,index,no params, , 
146,2SigmaSteven,2022-02-07 01:29:11.000000,admin,admin,no params, , 
147,2SigmaSteven,2022-02-07 01:29:13.000000,admin,assignments,no params, , 
148,2SigmaSteven,2022-02-07 01:29:20.000000,admin,get_assignment,assignmentid=95888, , 
149,2SigmaSteven,2022-02-07 01:29:42.000000,admin,practice,no params, , 
150,2SigmaSteven,2022-02-07 01:30:33.000000,admin,assignments,no params, , 
151,2SigmaSteven,2022-02-07 01:30:36.000000,admin,grading,no params, , 
152,2SigmaSteven,2022-02-07 01:30:38.000000,admin,course_students,no params, , 
153,nvalente,2022-02-07 01:35:54.000000,admin,admin,no params, , 
154,2SigmaSteven,2022-02-07 01:46:55.000000,admin,assignments,no params, , 
155,2SigmaSteven,2022-02-07 01:47:00.000000,admin,get_assignment,assignmentid=95888, , 
156,nvalente,2022-02-07 01:50:46.000000,admin,assignments,no params, , 
157,nvalente,2022-02-07 01:50:49.000000,admin,get_assignment,assignmentid=95888, , 
158,nvalente,2022-02-07 01:50:55.000000,admin,admin,no params, , 
159,2SigmaSteven,2022-02-07 02:02:01.000000,admin,assignments,no params, , 
160,2SigmaSteven,2022-02-07 02:02:07.000000,admin,get_assignment,assignmentid=95888, , 
161,nvalente,2022-02-07 02:05:51.000000,admin,assignments,no params, , 
162,nvalente,2022-02-07 02:05:54.000000,admin,get_assignment,assignmentid=95888, , 
163,nvalente,2022-02-07 02:05:56.000000,admin,admin,no params, , 
164,2SigmaSteven,2022-02-07 02:17:08.000000,admin,assignments,no params, , 
165,2SigmaSteven,2022-02-07 02:17:13.000000,admin,get_assignment,assignmentid=95888, , 
166,nvalente,2022-02-07 02:20:54.000000,admin,assignments,no params, , 
167,nvalente,2022-02-07 02:20:57.000000,admin,get_assignment,assignmentid=95888, , 
168,nvalente,2022-02-07 02:20:57.000000,admin,admin,no params, , 
169,2SigmaSteven,2022-02-07 02:32:14.000000,admin,assignments,no params, , 
170,2SigmaSteven,2022-02-07 02:32:20.000000,admin,get_assignment,assignmentid=95888, , 
171,nvalente,2022-02-07 02:35:58.000000,admin,assignments,no params, , 
172,nvalente,2022-02-07 02:35:58.000000,admin,admin,no params, , 
173,nvalente,2022-02-07 02:36:01.000000,admin,get_assignment,assignmentid=95888, , 
174,2SigmaSteven,2022-02-07 02:47:20.000000,admin,assignments,no params, , 
175,2SigmaSteven,2022-02-07 02:47:25.000000,admin,get_assignment,assignmentid=95888, , 
176,nvalente,2022-02-07 02:50:59.000000,admin,admin,no params, , 
177,nvalente,2022-02-07 02:51:02.000000,admin,assignments,no params, , 
178,nvalente,2022-02-07 02:51:05.000000,admin,get_assignment,assignmentid=95888, , 
179,2SigmaSteven,2022-02-07 03:02:25.000000,admin,assignments,no params, , 
180,2SigmaSteven,2022-02-07 03:02:30.000000,admin,get_assignment,assignmentid=95888, , 
181,nvalente,2022-02-07 03:06:00.000000,admin,admin,no params, , 
182,nvalente,2022-02-07 03:06:06.000000,admin,assignments,no params, , 
183,nvalente,2022-02-07 03:06:10.000000,admin,get_assignment,assignmentid=95888, , 
184,2SigmaSteven,2022-02-07 03:17:31.000000,admin,assignments,no params, , 
185,2SigmaSteven,2022-02-07 03:17:36.000000,admin,get_assignment,assignmentid=95888, , 
186,nvalente,2022-02-07 03:21:01.000000,admin,admin,no params, , 
187,nvalente,2022-02-07 03:21:10.000000,admin,assignments,no params, , 
188,nvalente,2022-02-07 03:21:14.000000,admin,get_assignment,assignmentid=95888, , 
189,2SigmaSteven,2022-02-07 03:32:36.000000,admin,assignments,no params, , 
190,2SigmaSteven,2022-02-07 03:32:41.000000,admin,get_assignment,assignmentid=95888, , 
191,nvalente,2022-02-07 03:36:03.000000,admin,admin,no params, , 
192,nvalente,2022-02-07 03:36:15.000000,admin,assignments,no params, , 
193,nvalente,2022-02-07 03:36:18.000000,admin,get_assignment,assignmentid=95888, , 
194,2SigmaSteven,2022-02-07 03:47:42.000000,admin,assignments,no params, , 
195,2SigmaSteven,2022-02-07 03:47:47.000000,admin,get_assignment,assignmentid=95888, , 
196,nvalente,2022-02-07 03:51:03.000000,admin,admin,no params, , 
197,nvalente,2022-02-07 03:51:19.000000,admin,assignments,no params, , 
198,nvalente,2022-02-07 03:51:23.000000,admin,get_assignment,assignmentid=95888, , 
199,2SigmaSteven,2022-02-07 04:02:48.000000,admin,assignments,no params, , 
200,2SigmaSteven,2022-02-07 04:02:56.000000,admin,get_assignment,assignmentid=95888, , 
201,nvalente,2022-02-07 04:06:05.000000,admin,admin,no params, , 
202,nvalente,2022-02-07 04:06:23.000000,admin,assignments,no params, , 
203,nvalente,2022-02-07 04:06:26.000000,admin,get_assignment,assignmentid=95888, , 
204,2SigmaSteven,2022-02-07 04:08:46.000000,admin,admin,no params, , 
205,2SigmaSteven,2022-02-07 04:15:53.000000,admin,enroll_students,no params, , 
206,2SigmaSteven,2022-02-07 04:16:48.000000,admin,admin,no params, , 
207,2SigmaSteven,2022-02-07 04:16:56.000000,admin,enroll_students,no params, , 
208,2SigmaSteven,2022-02-07 04:16:56.000000,admin,admin,no params, , 
209,2SigmaSteven,2022-02-07 04:17:15.000000,dashboard,index,no params, , 
210,2SigmaSteven,2022-02-07 04:17:15.000000,admin,admin,no params, , 
211,2SigmaSteven,2022-02-07 04:17:16.484595,page,view,index.html, , 
212,2SigmaSteven,2022-02-07 04:17:57.000000,admin,assignments,no params, , 
213,2SigmaSteven,2022-02-07 04:18:02.000000,admin,get_assignment,assignmentid=95888, , 
214,nvalente,2022-02-07 04:21:06.000000,admin,admin,no params, , 
215,nvalente,2022-02-07 04:21:26.000000,admin,assignments,no params, , 
216,nvalente,2022-02-07 04:21:29.000000,admin,get_assignment,assignmentid=95888, , 
217,2SigmaSteven,2022-02-07 04:33:03.000000,admin,assignments,no params, , 
218,2SigmaSteven,2022-02-07 04:33:14.000000,admin,get_assignment,assignmentid=95888, , 
219,nvalente,2022-02-07 04:36:08.000000,admin,admin,no params, , 
220,nvalente,2022-02-07 04:36:30.000000,admin,assignments,no params, , 
221,nvalente,2022-02-07 04:36:34.000000,admin,get_assignment,assignmentid=95888, , 
222,2SigmaSteven,2022-02-07 04:48:15.000000,admin,assignments,no params, , 
223,2SigmaSteven,2022-02-07 04:48:24.000000,admin,get_assignment,assignmentid=95888, , 
224,nvalente,2022-02-07 04:51:09.000000,admin,admin,no params, , 
225,nvalente,2022-02-07 04:51:34.000000,admin,assignments,no params, , 
226,nvalente,2022-02-07 04:51:37.000000,admin,get_assignment,assignmentid=95888, , 
227,2SigmaSteven,2022-02-07 05:03:25.000000,admin,assignments,no params, , 
228,2SigmaSteven,2022-02-07 05:03:37.000000,admin,get_assignment,assignmentid=95888, , 
229,nvalente,2022-02-07 05:06:11.000000,admin,admin,no params, , 
230,nvalente,2022-02-07 05:06:38.000000,admin,assignments,no params, , 
231,nvalente,2022-02-07 05:06:41.000000,admin,get_assignment,assignmentid=95888, , 
232,2SigmaSteven,2022-02-07 12:52:12.000000,admin,assignments,no params, , 
233,2SigmaSteven,2022-02-07 12:52:22.000000,admin,get_assignment,assignmentid=95888, , 
234,2SigmaSteven,2022-02-07 13:07:23.000000,admin,assignments,no params, , 
235,2SigmaSteven,2022-02-07 13:07:33.000000,admin,get_assignment,assignmentid=95888, , 
236,2SigmaSteven,2022-02-07 13:22:39.000000,admin,assignments,no params, , 
237,2SigmaSteven,2022-02-07 13:22:51.000000,admin,get_assignment,assignmentid=95888, , 
238,2SigmaSteven,2022-02-07 13:37:46.000000,admin,assignments,no params, , 
239,2SigmaSteven,2022-02-07 13:37:52.000000,admin,get_assignment,assignmentid=95888, , 
240,2SigmaSteven,2022-02-07 13:52:54.000000,admin,assignments,no params, , 
241,2SigmaSteven,2022-02-07 13:52:59.000000,admin,get_assignment,assignmentid=95888, , 
242,2SigmaSteven,2022-02-07 14:08:00.000000,admin,assignments,no params, , 
243,2SigmaSteven,2022-02-07 14:08:14.000000,admin,get_assignment,assignmentid=95888, , 
244,2SigmaSteven,2022-02-07 14:23:18.000000,admin,assignments,no params, , 
245,2SigmaSteven,2022-02-07 14:23:27.000000,admin,get_assignment,assignmentid=95888, , 
246,2SigmaSteven,2022-02-07 14:38:27.000000,admin,assignments,no params, , 
247,2SigmaSteven,2022-02-07 14:38:34.000000,admin,get_assignment,assignmentid=95888, , 
248,2SigmaSteven,2022-02-07 14:53:35.000000,admin,assignments,no params, , 
249,2SigmaSteven,2022-02-07 14:53:47.000000,admin,get_assignment,assignmentid=95888, , 
250,2SigmaSteven,2022-02-07 15:08:59.000000,admin,assignments,no params, , 
251,2SigmaSteven,2022-02-07 15:09:19.000000,admin,get_assignment,assignmentid=95888, , 
252,2SigmaSteven,2022-02-07 15:24:08.000000,admin,assignments,no params, , 
253,2SigmaSteven,2022-02-07 15:24:16.000000,admin,get_assignment,assignmentid=95888, , 
254,2SigmaSteven,2022-02-07 15:39:17.000000,admin,assignments,no params, , 
255,2SigmaSteven,2022-02-07 15:39:28.000000,admin,get_assignment,assignmentid=95888, , 
256,2SigmaSteven,2022-02-07 15:54:28.000000,admin,assignments,no params, , 
257,2SigmaSteven,2022-02-07 15:54:34.000000,admin,get_assignment,assignmentid=95888, , 
258,2SigmaSteven,2022-02-07 16:09:35.000000,admin,assignments,no params, , 
259,2SigmaSteven,2022-02-07 16:09:41.000000,admin,get_assignment,assignmentid=95888, , 
260,2SigmaSteven,2022-02-07 16:24:42.000000,admin,assignments,no params, , 
261,2SigmaSteven,2022-02-07 16:24:47.000000,admin,get_assignment,assignmentid=95888, , 
262,2SigmaSteven,2022-02-07 16:39:48.000000,admin,assignments,no params, , 
263,2SigmaSteven,2022-02-07 16:39:53.000000,admin,get_assignment,assignmentid=95888, , 
264,nvalente,2022-02-07 16:45:41.331035,page,view,index.html, , 
265,2SigmaSteven,2022-02-07 16:54:54.000000,admin,assignments,no params, , 
266,2SigmaSteven,2022-02-07 16:54:59.000000,admin,get_assignment,assignmentid=95888, , 
267,2SigmaSteven,2022-02-07 17:10:06.000000,admin,assignments,no params, , 
268,2SigmaSteven,2022-02-07 17:10:21.000000,admin,get_assignment,assignmentid=95888, , 
269,2SigmaSteven,2022-02-07 17:25:26.000000,admin,assignments,no params, , 
270,2SigmaSteven,2022-02-07 17:25:36.000000,admin,get_assignment,assignmentid=95888, , 
271,2SigmaSteven,2022-02-07 17:40:36.000000,admin,assignments,no params, , 
272,2SigmaSteven,2022-02-07 17:40:42.000000,admin,get_assignment,assignmentid=95888, , 
273,2SigmaSteven,2022-02-07 17:55:42.000000,admin,assignments,no params, , 
